Posted On,BHK,Rent,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact,Total_Floors
05-05-2022,3,20000,1200,Ground ,Super Area,Basaveshwar Nagar,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,2
05-07-2022,1,10000,800,1,Super Area,Ramamurthy Nagar,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,1
10-05-2022,2,10000,500,2,Carpet Area,"Aecs Layout-Singasandra, Singasandra, Hosur Road",Bangalore,Unfurnished,Bachelors,1,Contact Owner,4
29-04-2022,2,13000,1000,Ground ,Super Area,"Jayanti Nagar, Hormavu",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,3
02-07-2022,2,13000,850,Lower Basement ,Carpet Area,Sun City Layout,Bangalore,Semi-Furnished,Family,2,Contact Owner,2
12-06-2022,2,24000,900,2,Carpet Area,Koramangala,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Agent,5
04-07-2022,1,10000,600,3,Super Area,"State Bank Of India Colony, Hegganahalli",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,4
04-07-2022,1,8000,600,2,Super Area,Mahadevapura,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,4
04-07-2022,1,6000,600,1,Super Area,Begur,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,4
04-07-2022,3,21000,1250,Ground ,Super Area,Margondanahalli,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,1
23-05-2022,3,25000,2000,1,Super Area,Horamavu,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner,1
19-05-2022,2,8500,532,1,Carpet Area,Tannery Road,Bangalore,Unfurnished,Bachelors,1,Contact Owner,2
08-06-2022,2,13000,1000,1,Super Area,Whitefield,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,4
20-06-2022,1,5000,150,2,Super Area,Rajarajeshwari Nagar,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,3
23-05-2022,1,7500,500,1,Super Area,Mahadevapura,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,4
04-07-2022,1,13900,600,1,Carpet Area,"Nallurhalli, Whitefield, Borewell Road",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Agent,4
22-05-2022,2,15000,1100,3,Carpet Area,Uttarahalli,Bangalore,Furnished,Bachelors,2,Contact Owner,3
27-05-2022,3,30000,1500,4,Carpet Area,"Panduranga Nagar, bannerghatta main Road",Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Agent,4
06-07-2022,2,13000,500,2,Carpet Area,Koramangala,Bangalore,Semi-Furnished,Bachelors,1,Contact Agent,5
29-04-2022,1,7700,600,1,Carpet Area,Sir M V Nagar,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,2
14-05-2022,2,25000,1200,5,Super Area,Yelahanka,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,12
06-07-2022,2,17000,1100,1,Super Area,"Kaggadasapura, Indira nagar",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,4
07-07-2022,3,39000,1550,1,Carpet Area,Hennur Main Road,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Agent,13
02-07-2022,2,18000,1050,1,Carpet Area,Varthur,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,3
05-05-2022,1,15000,500,1,Super Area,Shanti Nagar,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,2
05-05-2022,2,28000,1500,1,Super Area,Shivaji Nagar,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,4
24-06-2022,2,17500,1150,3,Carpet Area,"Vijaya Bank Colony -Bilekahalli, Bilekahalli",Bangalore,Semi-Furnished,Family,2,Contact Agent,4
23-05-2022,4,75000,2000,Ground ,Super Area,Hsr Layout,Bangalore,Furnished,Bachelors/Family,3,Contact Owner,2
11-05-2022,2,14000,110,1,Carpet Area,RT Nagar,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,2
29-04-2022,1,9000,500,3,Super Area,"Jp Nagar Phase 7, J P Nagar",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,4
08-06-2022,3,20000,1465,2,Super Area,Sunkadakatte,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner,4
04-06-2022,2,12000,940,2,Carpet Area,"Attur Layout, Yelahanka New Town",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,5
23-05-2022,2,12000,850,Ground ,Super Area,Basaveshwar Nagar,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,4
02-07-2022,2,24000,990,14,Carpet Area,Tumkur Road,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,30
20-06-2022,2,12000,750,Ground ,Super Area,BBMP convertion layout,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,3
20-06-2022,1,10000,500,2,Super Area,Garvebhavi Palya,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,3
16-06-2022,3,24000,1430,2,Super Area,"Jp Nagar Phase 7, J P Nagar",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,3
08-06-2022,1,9000,600,3,Carpet Area,"Chelekare, Kalyan Nagar, Outer Ring Road",Bangalore,Semi-Furnished,Family,1,Contact Owner,4
11-06-2022,2,12000,900,1,Carpet Area,"Jeevanhalli, Cox Town",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,2
29-04-2022,2,11000,1100,Ground ,Super Area,Konanakunte,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,2
29-04-2022,2,15000,900,1,Carpet Area,"Venkatpura, HSR Layout",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,3
23-05-2022,1,5500,600,2,Super Area,Byatarayanapura,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,3
23-06-2022,2,18000,1000,Ground ,Carpet Area,Kudlu Gate,Bangalore,Semi-Furnished,Family,2,Contact Owner,4
06-07-2022,2,42000,1150,2,Carpet Area,Koramangala,Bangalore,Furnished,Bachelors,2,Contact Agent,4
29-04-2022,2,18000,1250,1,Super Area,"Devarachikannahalli, Begur Road",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,4
29-04-2022,2,15000,1000,1,Super Area,"Jp Nagar Phase 7, J P Nagar",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,4
04-06-2022,1,6000,500,2,Super Area,"Electronic City Phase 2, Electronic City",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,3
14-05-2022,3,30000,2000,1,Super Area,"Jp Nagar Phase 6, J P Nagar, Outer Ring Road",Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner,1
30-04-2022,2,12000,850,Ground ,Super Area,Choodasandra,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,2
28-06-2022,2,10000,990,Ground ,Carpet Area,"Hbr Layout Block 2, HBR Layout",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,2
27-06-2022,2,9500,850,1,Carpet Area,Raghavendra Layout,Bangalore,Semi-Furnished,Bachelors,1,Contact Owner,2
05-05-2022,2,16000,1000,4,Super Area,"Kaggadasapura, Indira nagar",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,5
23-06-2022,2,9500,650,4,Super Area,Nagvarpalya Main Road,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,5
16-06-2022,1,6500,400,2,Carpet Area,whitefield,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,2
03-06-2022,2,13500,1000,2,Carpet Area,Mylasandra,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,2
29-04-2022,2,25000,1350,12,Super Area,Doddaballapur Road,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,13
23-05-2022,2,9500,600,2,Super Area,Hbr Layout,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,3
08-06-2022,4,190000,4000,Ground ,Super Area,Koramangala,Bangalore,Furnished,Bachelors/Family,5,Contact Owner,2
28-06-2022,2,90000,950,4,Carpet Area,Aarna Enclave,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,5
30-06-2022,2,24000,777,4,Carpet Area,Yelahanka,Bangalore,Semi-Furnished,Family,2,Contact Agent,8
23-06-2022,3,15000,1200,2,Carpet Area,Electronic City,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,4
10-05-2022,2,22000,1600,Ground ,Super Area,Kodigehalli,Bangalore,Furnished,Bachelors/Family,3,Contact Owner,2
20-06-2022,3,34000,1500,14,Carpet Area,Yeshwantpur,Bangalore,Semi-Furnished,Bachelors,3,Contact Agent,20
06-06-2022,2,12500,570,1,Super Area,Btm Layout Stage 4,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,3
03-07-2022,3,28000,1800,18,Carpet Area,Mysore Road,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner,19
04-07-2022,2,12000,1100,1,Super Area,Arakere,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,3
23-06-2022,1,8000,400,Ground ,Super Area,"Lingarajapuram, Lingarajapuram, Hennur Main Road",Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,2
11-06-2022,1,7500,750,1,Carpet Area,Bettadasanapura,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,1
03-06-2022,2,34000,1400,5,Carpet Area,HRBR Layout Block 1,Bangalore,Furnished,Bachelors,2,Contact Agent,5
27-06-2022,3,32000,1789,8,Super Area,Yelahanka,Bangalore,Semi-Furnished,Family,3,Contact Agent,13
23-05-2022,2,14500,650,1,Carpet Area,"Maruthi Nagar-Kaggadasapura, Kaggadasapura",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,2
29-04-2022,2,16000,1200,2,Super Area,Hulimavu,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,4
29-04-2022,1,7500,460,3,Super Area,Singahalli,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,4
24-06-2022,2,7500,500,1,Carpet Area,"Kammagondahalli, Jalahalli",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,2
06-07-2022,2,19500,1080,Ground ,Carpet Area,Bda Layout -Lingarajapuram,Bangalore,Semi-Furnished,Family,2,Contact Owner,2
10-06-2022,3,75000,2000,1,Carpet Area,Dhobi Ghat- Rajajinagar,Bangalore,Furnished,Bachelors,2,Contact Agent,5
06-07-2022,2,16500,1100,2,Super Area,Hbr Layout,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,3
01-06-2022,2,14500,1025,8,Super Area,Chandapura,Bangalore,Unfurnished,Bachelors,2,Contact Owner,9
27-06-2022,2,16000,650,Ground ,Carpet Area,"Aradhana Layout, Arakere",Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,3
23-05-2022,2,8000,800,1,Super Area,Mahadevapura,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,3
06-07-2022,3,280000,2800,6,Carpet Area,Rajajinagar,Bangalore,Furnished,Bachelors/Family,3,Contact Agent,30
19-05-2022,2,21000,1100,3,Carpet Area,Hennur Main Road,Bangalore,Furnished,Bachelors,2,Contact Agent,4
19-05-2022,3,30000,1300,2,Carpet Area,Maruthi Sevanagar,Bangalore,Semi-Furnished,Bachelors,3,Contact Agent,4
16-06-2022,3,65000,2000,3,Super Area,Frazer Town,Bangalore,Semi-Furnished,Bachelors,3,Contact Agent,6
16-06-2022,3,180000,2500,4,Carpet Area,Mahatma Gandhi Road,Bangalore,Unfurnished,Bachelors,3,Contact Agent,8
08-06-2022,2,10000,600,2,Super Area,Hommadevanahalli,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,4
07-07-2022,2,12000,630,3,Super Area,Whitefield,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,5
07-07-2022,2,9000,550,Ground ,Super Area,Hosakerehalli,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,2
01-06-2022,2,22000,1025,3,Super Area,Basaveshvara Nagar,Bangalore,Semi-Furnished,Family,2,Contact Owner,3
08-05-2022,1,10000,500,1,Carpet Area,Kadugodi Pattalamma Layout,Bangalore,Semi-Furnished,Bachelors,1,Contact Owner,4
25-05-2022,3,48000,1286,8,Carpet Area,Hebbal,Bangalore,Semi-Furnished,Bachelors,3,Contact Agent,16
22-06-2022,1,11000,800,Ground ,Super Area,Adugodi,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,4
09-06-2022,2,11000,900,1,Super Area,"Singasandra, Hosur Road",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,3
23-06-2022,3,40000,1618,2,Super Area,Yelahanka New Town,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner,4
08-06-2022,1,10000,500,2,Super Area,Marathahalli-Sarjapur Outer Ring Road,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,5
27-06-2022,1,6500,450,Ground ,Carpet Area,Garden City University,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,2
29-04-2022,2,18000,850,3,Super Area,Padmanabha Nagar,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,4
07-07-2022,3,22000,1374,Ground ,Super Area,Kanakapura Road,Bangalore,Semi-Furnished,Family,2,Contact Agent,16
30-05-2022,3,28000,1600,2,Super Area,Banaswadi,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner,4
10-06-2022,1,6200,400,2,Super Area,Nagarbhavi,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,3
12-06-2022,3,110000,1500,6,Carpet Area,Hebbal,Bangalore,Furnished,Bachelors/Family,3,Contact Agent,16
15-06-2022,2,5500,800,1,Super Area,Kengeri Hobli,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,4
21-05-2022,3,50000,1580,3,Carpet Area,Koramangala 8Th Block,Bangalore,Unfurnished,Bachelors,3,Contact Agent,3
23-06-2022,2,12000,700,Ground ,Carpet Area,Agrahara Layout,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,2
08-05-2022,2,11500,700,Ground ,Super Area,Sadashiva Nagar,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,2
20-06-2022,1,16000,550,1,Carpet Area,"Doddanekundi, Kartik Nagar",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Agent,7
16-06-2022,1,11000,450,4,Carpet Area,Krishna Reddy Layout -Domlur,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Agent,4
18-06-2022,4,150000,4550,3,Super Area,"Jakkur Plantation, Jakkuru, Bellary Road",Bangalore,Semi-Furnished,Family,5,Contact Agent,5
30-06-2022,1,9000,400,1,Super Area,"Laxminarayana Layout, Munnekollal",Bangalore,Semi-Furnished,Bachelors,1,Contact Owner,1
07-07-2022,1,6000,650,Ground ,Super Area,Jnana Ganga Nagar,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,3
04-07-2022,2,12000,700,1,Super Area,Bagalur,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,4
27-05-2022,2,16000,1333,2,Super Area,"Ms Palya, Vidyaranyapura",Bangalore,Unfurnished,Bachelors,2,Contact Owner,4
31-05-2022,3,35000,1500,1,Carpet Area,Vasanth Nagar,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Agent,4
27-05-2022,1,9000,425,2,Carpet Area,"Murugeshpalya, Airport Road",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Agent,5
27-05-2022,1,8000,300,Ground ,Super Area,Airport Road,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,3
30-06-2022,2,13500,650,2,Carpet Area,Vijayanagar,Bangalore,Unfurnished,Family,2,Contact Owner,3
15-06-2022,2,14000,800,Ground ,Super Area,"Banashankari Stage 2, Banashankari",Bangalore,Semi-Furnished,Family,2,Contact Owner,2
07-07-2022,2,14000,1200,2,Carpet Area,Srinivaspura,Bangalore,Semi-Furnished,Family,2,Contact Owner,3
05-05-2022,1,4700,500,1,Super Area,Chikkabanavara,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,4
05-05-2022,2,17000,1000,3,Super Area,Mavalli,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,4
04-06-2022,2,11000,600,1,Super Area,K R Puram,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,3
08-06-2022,1,12000,600,2,Super Area,Thanisandra,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,3
27-04-2022,3,30000,1875,3,Super Area,"Jp Nagar Phase 1, J P Nagar",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,3
05-05-2022,2,12000,1000,Ground ,Super Area,K R Puram,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,4
05-05-2022,3,21000,1300,3,Super Area,Hormavu Ring Road,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,3
14-05-2022,1,6000,350,3,Super Area,Sunkadakatte,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,4
04-06-2022,2,18500,900,2,Super Area,Rajajinagar,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,3
27-04-2022,1,4750,200,2,Carpet Area,"Chamundeshwari Layout, Arakere",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,2
23-05-2022,2,15000,700,1,Super Area,Yeshwantpur,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,5
14-05-2022,2,17600,1000,1,Carpet Area,Hosur Road,Bangalore,Semi-Furnished,Bachelors,2,Contact Owner,4
10-06-2022,3,35000,1700,10,Carpet Area,Thanisandra,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Agent,13
27-05-2022,2,8000,600,2,Super Area,Ullal Main Road,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,3
05-05-2022,1,7000,650,2,Super Area,Rayasandra,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,5
05-05-2022,2,15000,750,Ground ,Super Area,Byrathi,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,2
10-05-2022,3,30000,1750,1,Super Area,"Chowdeshwari Layout, Yelahanka",Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner,3
02-06-2022,3,100000,1950,3,Carpet Area,Koramangala Block 3,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Agent,3
23-05-2022,2,18000,1065,2,Carpet Area,Horamavu,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Agent,5
23-05-2022,2,8000,600,Ground ,Super Area,Nagadevana Halli,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,1
23-05-2022,2,9000,600,2,Super Area,Laggere,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,4
27-06-2022,1,6000,500,Ground ,Super Area,Doddanagamangala,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,2
04-07-2022,2,7500,600,Ground ,Super Area,K R Puram,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,2
04-07-2022,1,15000,600,5,Carpet Area,"A Narayanapura, Mahadevapura",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Agent,5
06-07-2022,2,10000,900,1,Carpet Area,"Chikbasavnapura, Krishnarajapura",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,1
23-06-2022,2,14000,500,Ground ,Super Area,Shivaji Nagar,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,3
23-05-2022,1,7000,600,2,Super Area,Sunkadakatte,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,3
06-07-2022,3,60000,1710,6,Carpet Area,"Ambedkar Colony, Yelahanka",Bangalore,Unfurnished,Bachelors/Family,3,Contact Agent,18
23-05-2022,1,6000,600,3,Super Area,Doddabidarakallu,Bangalore,Unfurnished,Bachelors,1,Contact Owner,4
13-06-2022,3,17000,1100,1,Carpet Area,Anjanapura,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,3
06-05-2022,2,15000,920,4,Super Area,Yelahanka,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,4
30-05-2022,1,8200,750,2,Super Area,"Aecs Layout-Singasandra, Singasandra, Hosur Road",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,4
07-07-2022,1,8500,300,2,Super Area,Bommanahalli,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,3
23-05-2022,3,20000,1660,1,Carpet Area,"Doddathoguru, Electronic City",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,3
23-05-2022,1,8000,400,2,Super Area,"Vimanapura, Airport Road",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,3
29-04-2022,2,20000,300,1,Super Area,Nagarathpete,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,3
26-05-2022,1,11500,300,1,Carpet Area,"Cooke Town, Cooke Town",Bangalore,Unfurnished,Bachelors,1,Contact Owner,2
16-05-2022,3,30000,2000,3,Carpet Area,"Jakkur Plantation, Jakkuru, Bellary Road",Bangalore,Furnished,Bachelors/Family,2,Contact Owner,3
12-06-2022,3,22000,1200,4,Carpet Area,Doddakammanahalli,Bangalore,Semi-Furnished,Bachelors,3,Contact Owner,4
28-04-2022,1,6500,300,2,Super Area,Hebbal,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,3
25-05-2022,1,6500,700,Ground ,Super Area,Hosakerehalli,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,1
18-05-2022,2,16000,850,Ground ,Super Area,"Jp Nagar Phase 1, J P Nagar",Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner,2
26-05-2022,1,24000,700,7,Carpet Area,"Domlur, Domlur",Bangalore,Furnished,Bachelors/Family,1,Contact Agent,7
07-07-2022,1,15000,455,2,Carpet Area,"Murugeshpalya, Airport Road",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Agent,4
26-06-2022,2,18000,1000,Ground ,Carpet Area,"Sai Colony, Krishnarajapura",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,4
30-05-2022,1,8500,600,1,Super Area,Shivaji Nagar,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,2
23-05-2022,1,4000,250,Ground ,Super Area,Vijayanagar,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,2
23-05-2022,1,5000,400,1,Super Area,T Dasarahalli,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,2
04-07-2022,2,22000,1200,3,Carpet Area,Mahadevapura,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Agent,5
27-04-2022,1,12000,500,2,Carpet Area,"Electronics City Phase 1, Electronic City",Bangalore,Semi-Furnished,Bachelors,1,Contact Owner,5
23-05-2022,1,9000,350,2,Super Area,Btm Layout,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,3
29-04-2022,2,7500,1100,Ground ,Super Area,"Vinayak Nagar, Kattigenahalli",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,3
04-06-2022,2,30000,1650,2,Super Area,Ganga Nagar,Bangalore,Unfurnished,Bachelors/Family,3,Contact Owner,3
05-05-2022,4,14000,1000,Ground ,Super Area,"Electronic City Phase 2, Electronic City",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,4
19-06-2022,2,9250,500,2,Super Area,Banashankari,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,3
29-06-2022,1,13000,700,1,Super Area,Gh society,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,5
23-05-2022,2,12000,1200,Ground ,Super Area,Vijayanagar,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,5
27-04-2022,1,12000,600,1,Super Area,Wilson Garden,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner,2
01-05-2022,2,10000,925,2,Super Area,Electronic City,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,5
09-07-2022,3,60000,2400,Ground ,Carpet Area,Koramangala,Bangalore,Semi-Furnished,Bachelors,3,Contact Agent,8
23-05-2022,3,35000,1500,1,Carpet Area,Hebbal,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Agent,9
27-05-2022,2,12000,600,Ground ,Super Area,"Dooravani Nagar, Dooravani Nagar",Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,4
27-05-2022,1,14000,435,3,Carpet Area,"Murugeshpalya, Airport Road",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Agent,5
14-05-2022,1,8000,650,Ground ,Carpet Area,"Srinivasa Nagar-Banashankari, Banashankari",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,1
15-06-2022,2,11000,700,Ground ,Carpet Area,Uttarahalli,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,2
30-06-2022,2,20000,890,5,Carpet Area,Yelahanka,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Agent,12
23-06-2022,1,12500,600,3,Super Area,Hbr Layout,Bangalore,Furnished,Bachelors/Family,1,Contact Owner,4
23-06-2022,2,35000,1250,3,Carpet Area,Cunningham Road,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Agent,4
04-07-2022,3,26000,1350,2,Carpet Area,Mahadevapura,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Agent,5
06-07-2022,3,85000,2600,8,Carpet Area,Hebbal,Bangalore,Semi-Furnished,Family,4,Contact Agent,18
27-05-2022,1,14000,440,2,Carpet Area,"Murugeshpalya, Airport Road",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Agent,5
18-05-2022,2,22000,1150,1,Carpet Area,Electronic City,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,4
16-05-2022,1,7000,450,2,Super Area,"Electronic City Phase 2, Electronic City",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,4
29-04-2022,2,16000,1150,3,Super Area,Nri Layout,Bangalore,Furnished,Bachelors/Family,2,Contact Owner,5
28-05-2022,2,11000,600,2,Carpet Area,Gottigere,Bangalore,Unfurnished,Bachelors,1,Contact Owner,5
30-06-2022,2,20000,980,4,Carpet Area,Yelahanka,Bangalore,Semi-Furnished,Family,2,Contact Agent,12
05-07-2022,3,60000,1850,3,Carpet Area,Halasuru,Bangalore,Furnished,Bachelors/Family,3,Contact Owner,3
31-05-2022,2,5000,625,1,Carpet Area,Kadabagere,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,3
27-05-2022,1,4000,100,2,Super Area,"Itc Colony, Maruthi Sevanagar",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,3
05-07-2022,2,15000,1200,1,Carpet Area,Varthur,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,1
01-05-2022,3,18000,1200,Ground ,Carpet Area,Bagalakunte,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,4
14-06-2022,2,12000,1080,1,Carpet Area,Punyabhoomi Layout,Bangalore,Semi-Furnished,Bachelors,1,Contact Owner,2
14-05-2022,1,8500,700,1,Super Area,Amrutahalli,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,3
05-05-2022,2,11000,800,Ground ,Super Area,"Panduranga Nagar, bannerghatta main Road",Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner,1
05-05-2022,3,42000,1880,14,Super Area,whitefield,Bangalore,Semi-Furnished,Family,2,Contact Owner,14
29-04-2022,2,25000,1305,1,Super Area,Jakkur,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner,8
29-04-2022,1,8500,600,3,Super Area,Sahakara Nagar,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner,5
